iter	Passed	Remaining
0	145	14374
1	145	7153
2	146	4733
3	146	3522
4	147	2796
5	147	2312
6	148	1966
7	148	1705
8	148	1502
9	148	1340
10	149	1207
11	149	1095
12	149	1001
13	149	920
14	150	851
15	150	790
16	150	736
17	151	688
18	151	645
19	151	607
20	151	571
21	152	539
22	152	510
23	152	484
24	153	459
25	153	437
26	153	415
27	154	396
28	154	378
29	154	360
30	154	344
31	155	329
32	155	315
33	155	302
34	156	289
35	156	277
36	156	266
37	156	255
38	157	245
39	157	236
40	157	227
41	158	218
42	158	209
43	158	202
44	159	194
45	159	187
46	159	180
47	159	173
48	160	167
49	161	161
50	161	155
51	161	149
52	162	144
53	162	138
54	162	133
55	163	128
56	163	123
57	163	118
58	164	114
59	164	109
60	164	105
61	165	101
62	165	97
63	165	93
64	166	89
65	166	85
66	166	82
67	167	78
68	167	75
69	167	71
70	168	68
71	168	65
72	168	62
73	169	59
74	169	56
75	170	53
76	170	50
77	170	48
78	171	45
79	171	42
80	171	40
81	172	37
82	172	35
83	172	32
84	172	30
85	173	28
86	173	25
87	174	23
88	174	21
89	175	19
90	175	17
91	176	15
92	176	13
93	176	11
94	177	9
95	177	7
96	177	5
97	178	3
98	178	1
99	178	0
