iter	Logloss
0	0.6923106264
1	0.6914375572
2	0.6904289114
3	0.6895993791
4	0.6889771443
5	0.6876895819
6	0.686496762
7	0.6853342853
8	0.6843359965
9	0.683671829
10	0.6824882357
11	0.6815475426
12	0.6806098086
13	0.6794325798
14	0.6789879515
15	0.6783844928
16	0.6774545246
17	0.6768250461
18	0.67619717
19	0.6752744069
20	0.6744908711
21	0.673563648
22	0.6727744357
23	0.6720206858
24	0.6712303071
25	0.67008929
26	0.6695086745
27	0.6688626363
28	0.6684381747
29	0.6675041409
30	0.6665533168
31	0.6658186292
32	0.6650560308
33	0.6637651308
34	0.6630005224
35	0.6619047324
36	0.6609687143
37	0.6600505155
38	0.6593019946
39	0.6585268246
40	0.6582575018
41	0.6576925574
42	0.6569763861
43	0.6565445587
44	0.6559207737
45	0.6554997034
46	0.6545409709
47	0.65396545
48	0.6531999765
49	0.6524560543
50	0.652056593
51	0.6514893671
52	0.6502411854
53	0.6493329696
54	0.648260788
55	0.6474630866
56	0.6464705989
57	0.646046468
58	0.6452950968
59	0.6445679317
60	0.6438195937
61	0.6430740406
62	0.6424941421
63	0.6419617799
64	0.6411376993
65	0.6402450701
66	0.6396449705
67	0.6388633649
68	0.6381240802
69	0.6375601788
70	0.6365325186
71	0.6358244386
72	0.6351120803
73	0.6342661596
74	0.6337887347
75	0.6334969948
76	0.6327931633
77	0.6323184255
78	0.6319454743
79	0.6309446461
80	0.6299514025
81	0.629259636
82	0.6282150381
83	0.6276221838
84	0.6269369473
85	0.6258991427
86	0.6246252606
87	0.623681186
88	0.6231081386
89	0.6220373246
90	0.6212703851
91	0.6205704593
92	0.6194745484
93	0.6186699917
94	0.617721195
95	0.6166640504
96	0.6156549868
97	0.6151369694
98	0.6146190133
99	0.613961637
