iter	Passed	Remaining
0	130	12876
1	131	6419
2	131	4254
3	132	3174
4	132	2521
5	133	2086
6	133	1777
7	134	1544
8	134	1364
9	135	1219
10	136	1101
11	136	1001
12	137	917
13	137	846
14	138	784
15	138	728
16	139	680
17	139	636
18	140	598
19	141	564
20	141	532
21	141	502
22	142	476
23	142	452
24	143	429
25	143	408
26	144	389
27	144	372
28	145	355
29	145	339
30	146	325
31	146	311
32	147	298
33	147	286
34	148	275
35	148	264
36	149	253
37	149	244
38	150	234
39	150	226
40	151	217
41	151	209
42	151	201
43	152	193
44	152	186
45	153	180
46	154	173
47	154	167
48	155	161
49	155	155
50	156	150
51	156	144
52	157	139
53	157	134
54	158	129
55	158	124
56	159	120
57	159	115
58	160	111
59	160	107
60	161	103
61	161	99
62	162	95
63	163	91
64	163	88
65	164	84
66	164	81
67	165	77
68	165	74
69	166	71
70	166	68
71	167	64
72	167	62
73	168	59
74	168	56
75	168	53
76	169	50
77	169	47
78	170	45
79	170	42
80	171	40
81	171	37
82	172	35
83	172	32
84	173	30
85	173	28
86	174	26
87	174	23
88	175	21
89	175	19
90	176	17
91	176	15
92	177	13
93	177	11
94	177	9
95	178	7
96	178	5
97	179	3
98	179	1
99	180	0
